Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
MIS Analyst-StudyReach,Coders Brain Pvt Ltd,9-14 Yrs,Not disclosed,Bangalore/Bengaluru,TrainingCorporate trainingData analysisMachine learningData analyticsBusiness intelligencebig dataSQL,https://www.naukri.com/job-listings-sr-data-analyst-power-bi-developer-highrise-solutions-pune-0-to-4-years-240723500413,30+ Days Ago
Post-Warranty Database Analyst,Coders Brain Pvt Ltd,16-25 Yrs,Not disclosed,Bangalore/Bengaluru,UsageSASdata scienceBfsiAnalyticalPresalesData analyticsRevenue generation,https://www.naukri.com/job-listings-analyst-data-management-quantitative-analysis-bny-mellon-international-operations-india-pune-0-to-2-years-220223501012,30+ Days Ago
Business Analyst,Coders Brain Pvt Ltd,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Data Miningdata analysisdata cleaningdata manipulationMISData ManagementData VisualizationData Analytics,https://www.naukri.com/job-listings-junior-data-analyst-pgdm-finance-freshers-institutional-shareholder-services-inc-mumbai-0-to-2-years-140923502180,30+ Days Ago
BI System Analyst,EXL,5-10 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Google Sheetsexcel advancedPower BiData AnalysisSQLTableauGoogleExcel,https://www.naukri.com/job-listings-analyst-data-management-quantitative-analysis-bny-mellon-international-operations-india-chennai-0-to-2-years-050523500795,30+ Days Ago
Modeling Analyst,EXL,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisSASData managementManagement systemsAnalyticalpower biData analyticsManager Quality Control,https://www.naukri.com/job-listings-analyst-saarthee-gurgaon-gurugram-0-to-3-years-020822500415,30+ Days Ago
Energy Market Analyst - Transmission,Salesforce,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,IT servicesSANHead Business DevelopmentSOCManagementInformation technologyCRMDevelopment,https://www.naukri.com/job-listings-data-scientist-senior-data-scientist-circle-k-stores-inc-gurgaon-gurugram-4-to-8-years-310523501858,30+ Days Ago
Business Analyst cum Project Manager (Government Domain),Tech Manos,1-6 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Gurgaon/ Gurugram, Haryana",Report generationData analysisInterpersonal skillsData analyticsdata visualizationMacrosData warehousingManagement reporting,https://www.naukri.com/job-listings-senior-data-scientist-python-f-m-x-razor-group-gmbh-new-delhi-5-to-10-years-070622501427,30+ Days Ago
BI System Analyst,Ideslabs,2-5 Yrs,12-20 Lacs PA,Bangalore/Bengaluru,Report generationData analysisInterpersonal skillsData analyticsdata visualizationMacrosData warehousingManagement reporting,https://www.naukri.com/job-listings-senior-data-scientist-spinny-gurgaon-gurugram-2-to-6-years-090922500083,Today
BI System Analyst,EXL,3-7 Yrs,7.5-10 Lacs PA,Bangalore/Bengaluru,Cold callingCopyrightAutomationInterpersonal skillsSolution sellingData analyticsBusiness solutionsPresentation,https://www.naukri.com/job-listings-senior-data-scientist-risk-specialist-savein-new-delhi-5-to-9-years-021122501022,5 Days Ago
Business Analyst II,Pureprofile Technologies,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Analytical skillsMS SQLPayrollSQL databaseManager TechnologyData analyticsManagementDBMS,https://www.naukri.com/job-listings-taleo-sr-data-scientist-skillety-noida-5-to-9-years-131222501280,7 Days Ago
Analyst Jobs in Business Analyst,Information Security Media Group (ISMG),5-7 Yrs,1.5-2.25 Lacs PA,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Trainingdata scienceMachine learningData analyticsDataScienceMachineCorporate,https://www.naukri.com/job-listings-sr-data-scientist-galytix-gurgaon-gurugram-6-to-11-years-270922501212,8 Days Ago
BUSINESS ANALYST,Adidas,7-8 Yrs,Not disclosed,Noida,Architectorchestrationdata scienceData managementCash flowbig dataBusiness bankingAnalytics,https://www.naukri.com/job-listings-senior-data-governance-professional-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-10-years-230823500480,9 Days Ago
Lead Business Analyst,Compunnel,4-8 Yrs,4-6 Lacs PA,"Noida, Uttar Pradesh(Sector-62 Noida)",Computer scienceFront endAgile scrumCodingTDDGCPPostgresqlMySQL,https://www.naukri.com/job-listings-senior-associate-product-data-operations-pearson-noida-uttar-pradesh-2-to-5-years-260923009674,9 Days Ago
